var,p.value,total_eff,benthic_demersal_p,benthic_pelagic_p,demersal_pelagic_p,statistic,term,df,model,benthic_demersal_eff,benthic_pelagic_eff,demersal_pelagic_eff,benthic_mn,demersal_mn,pelagic_mn,benthic_se,demersal_se,pelagic_se
alphaPos_mn,4.366896479590654e-5,1.050466849688953,8.993946650659446e-4,0.0019122361912612407,0.41267198056382504,20.07774579180439,Habitat,2,,0.3409179336667969,0.5252334248444765,0.18431549117767965,97.43795921572237,88.69473344853014,83.96775433533267,13.503179690622728,13.338591152568696,13.705768495369046
CBL_quad,0.0038464322711490554,0.9628053209461812,0.6346024321159549,0.0230688178671562,0.003779493323249228,11.121218486273678,Habitat,2,,0.0821545362456298,-0.3992481242274608,-0.4814026604730906,-0.02279268303896527,-0.028817722341308607,0.006487326925003905,0.038613799515951536,0.03814314082987514,0.03919312406541917
d_mn,0.013504211895122735,0.8598536398400598,0.8045990327468963,0.013167722000293924,0.031029591319473138,8.60950729993179,Habitat,2,,0.056687444825934685,0.4299268199200299,0.3732393750940952,0.0031320378522987974,0.003027610511369793,0.0023400438801561146,9.699325619616737e-4,9.58110177453591e-4,9.844845032758226e-4
d_vtx,2.5133401926416335e-5,0.7985955303909578,9.368434734657871e-5,0.02389732262839217,0.9998898630150034,21.182625684908878,Habitat,2,,-0.3992977651954789,-0.39725740910055224,0.002040356094926643,-0.08196885428684259,1.3505174049646818,1.3431975992339094,1.8888948689211162,1.8658713698537532,1.9172340425493786
CBL_vtx,0.04042466730474508,0.7296309581097025,0.6697033177779388,0.13313457611050228,0.0359353990778527,6.416630206982223,Habitat,2,,-0.07710243681915857,0.28771304223569266,0.36481547905485123,0.9902857645374904,1.418451689973614,-0.6074448140410281,2.923870944094979,2.888232253418186,2.967737909755522
alphaAnt_mn,0.09477240597769836,0.6257497433229355,0.8838593554553407,0.16774145291655662,0.0836113897179348,4.712553976553345,Habitat,2,,-0.04268241352776858,0.2701924581336992,0.31287487166146777,90.87703047570722,92.00732136556474,83.72195069705195,13.942975352463675,13.773026201081276,14.15216243106151
DAnt_quad,0.20784699861916756,0.5236362707715437,0.8545443901013358,0.1864817713645046,0.3063353376623923,3.141906107033691,Habitat,2,,-0.04817549959535658,-0.26181813538577187,-0.2136426357904153,-0.016688765483350576,-0.013799786811052626,-9.881081885953734e-4,0.03157419669835192,0.031189342834752585,0.03204790577402884
alphaAnt_quad,0.16727657816893726,0.5209842247266963,0.5563903453262686,0.4986679311711427,0.17516475409865162,3.5762133595606915,Habitat,2,,-0.0933882319500675,0.16710388041328061,0.2604921123633481,5.519979410369631,27.118310880851624,-33.126913499002015,121.77054514759888,120.28629947635123,123.59747404582656
DPos_quad,0.27087512397375535,0.47228711412880175,0.9466264030046301,0.2532466929374535,0.3264384500171036,2.6121947228937605,Habitat,2,,-0.028432966229883838,-0.23614355706440088,-0.20771059083451704,-0.01759618886531561,-0.015903305764100487,-0.0035363319378667393,0.0313486614809259,0.030966556637377133,0.0318189868417169
fineness,0.2789473967182812,0.4562807791177328,0.7882065765926731,0.49164357648242285,0.2604547129512834,2.553464114330949,Habitat,2,,0.05932089484400349,-0.1688194947148629,-0.2281403895588664,8.109392427702339,7.645746459743155,9.428868107280115,4.115219409645637,4.065059524202098,4.176960229257771
alphaPos_quad,0.21555276007213886,0.4476405349290218,0.45247265032505746,0.7176970442408066,0.27363555185345556,3.069099146165155,Habitat,2,,-0.10880769430365762,0.11501257316085325,0.2238202674645109,16.651396158389247,41.81138853759498,-9.94337255497219,121.74891494438336,120.26493292092881,123.57551932371132
DPos_mn,0.33973493554084533,0.41012618331348216,0.7351044897368822,0.622885162258105,0.3356518736213998,2.1591791335391033,Habitat,2,,-0.06749647117975277,0.1375666204769883,0.20506309165674108,0.015880737545086964,0.01638870392219007,0.014845435749413617,0.003962489282050889,0.003914191004687341,0.004021938684774032
DAnt_mn,0.41324819058233,0.38370106877341437,0.9177339188647593,0.5436621384198109,0.38375664826613576,1.7674138415934955,Habitat,2,,-0.03558055416694694,0.15626998021976024,0.19185053438670718,0.0160715924340509,0.016349698314170078,0.014850149952258525,0.004115396321979633,0.00406523428017418,0.004177139795815373
alphaPos_vtx,0.49462873988243283,0.3267322969319646,0.7132552662162597,0.5140750121827145,0.7976633944797255,1.4078956365180437,Habitat,2,,0.07074658799308803,0.1633661484659823,0.09261956047289427,1.1307987866726918,0.9092611735605954,0.619229994153595,1.6487551857554417,1.6286587187121317,1.6734915330495126
CBL_mn,0.3158422124427624,0.28128373050363287,0.3269872863206751,0.6098071919309577,0.9967478047198162,2.3050250356271977,Habitat,2,,-0.12954548744643035,-0.14064186525181643,-0.011096377805386082,0.015175744666597355,0.016753258119607456,0.016888381971566543,0.006411578792094552,0.006333428874505741,0.0065077719935320855
DPos_vtx,0.5162030404062056,0.237222020502871,0.5485046324402887,0.7028157894007454,0.9847786183954693,1.3225102034756362,Habitat,2,,0.0945299627410789,0.1186110102514355,0.0240810475103566,1.297132385189552,0.6233329637448982,0.4516858435116812,3.7529722104532612,3.7072277100001663,3.809278219243907
d_quad,0.43637585298001264,0.21966504963591388,0.44582444149508826,0.9995691952114898,0.7452176077724533,1.6585027177277771,Habitat,2,,0.10983252481795694,0.004133343255277283,-0.10569918156267966,-0.007837532278616131,-0.011751315459398833,-0.007984820245816367,0.018762037381713788,0.018533349296809176,0.019043525062012283
alphaAnt_vtx,0.6914846587616641,0.17750169755751982,0.7376692437435514,0.9882614193067272,0.8124963373419645,0.7378286271458688,Habitat,2,,-0.06711140413361884,0.021639444645141066,0.08875084877875991,-2.1011234907235585,1.8890016824631375,-3.3877020376489995,31.304328783132828,30.922764305193116,31.773989018489452
DAnt_vtx,0.923345959592848,0.1145068181227637,0.9871251942654118,0.953561401423673,0.9170484399930838,0.15950258782613155,Habitat,2,,0.013814904478865991,-0.04343850458251586,-0.05725340906138185,0.8378063583530931,0.7076294471837254,1.2471244510709147,4.961354707216466,4.90088138635891,5.0357901322856815
